,SMILES,Glass transition temperature
0,[Mg]CC[Mg],-123
1,CC([Mg])C[Mg],-13
2,CCC([Mg])C[Mg],-24
3,CC(C)C([Mg])C[Mg],50
4,CCCC([Mg])C[Mg],-40
5,CC(C)CC([Mg])C[Mg],30
6,CCCCC([Mg])C[Mg],-50
7,CC(C)CCC([Mg])C[Mg],-14
8,CCCCCCCCCCCCCCCCC([Mg])C[Mg],55
9,CC(C[Mg])([Mg])C,-73
10,C=CC([Mg])C[Mg],-65
12,[Mg]CC([Mg])C1=CC=CC=C1,100
13,CC([Mg])C([Mg])C1=CC=CC=C1,168
14,CC1=CC=CC=C1C([Mg])C[Mg],136
15,CC1=CC=C(C=C1)C([Mg])C[Mg],107
16,COC1=CC=C(C=C1)C([Mg])C[Mg],89
17,[Mg]C(C[Mg])CC1=CC=CC=C1,60
18,Clc1c(C([Mg])C[Mg])cccc1,119
19,FC([Mg])C[Mg],41
20,ClC([Mg])C[Mg],81
21,FC(C[Mg])([Mg])F,-61
22,ClC(C[Mg])([Mg])Cl,-18
23,FC(C(F)([Mg])F)([Mg])F,-73
24,FC(C(F)([Mg])F)([Mg])Cl,52
25,[Mg]CC([Mg])C1CCCC1,75
26,[Mg]CC([Mg])C1CCCCC1,90
27,[Mg]CC([Mg])C1=C2C=CC=CC2=CC=C1,135
28,OC([Mg])C[Mg],70
29,COC([Mg])C[Mg],-31
30,CCOC([Mg])C[Mg],-42
32,CC(OC([Mg])C[Mg])C,-3
33,CCCCOC([Mg])C[Mg],-53
34,CC(C)COC([Mg])C[Mg],-27
35,CCC(OC([Mg])C[Mg])C,-20
36,CC(OC([Mg])C[Mg])(C)C,88
37,CCCCCCOC([Mg])C[Mg],-77
38,CCCCCCCCOC([Mg])C[Mg],-79
40,O=C(C)C(C[Mg])([Mg])C,80
41,O=COC([Mg])C[Mg],31
42,[Mg]CC(OC(C)=O)[Mg],31
43,CCC(OC([Mg])C[Mg])=O,10
44,[Mg]CC([Mg])OC(CCl)=O,31
45,[Mg]CC([Mg])OC(C(F)(F)F)=O,46
46,O=C1N(C([Mg])C[Mg])CCC1,145
47,[Mg]C(C[Mg])C1=CC=CC2=C1NC3=C2C=CC=C3,200
48,[Mg]CC(C(OC)=O)[Mg],6
49,[Mg]CC(C(OCC)=O)[Mg],-24
50,[Mg]CC(C(OCCC)=O)[Mg],-44
51,[Mg]CC(C(OC(C)C)=O)[Mg],-11
52,[Mg]CC(C(OCCCC)=O)[Mg],-55
53,[Mg]CC(C(OCC(C)C)=O)[Mg],-24
54,[Mg]CC(C(OC(C)CC)=O)[Mg],-23
55,[Mg]CC(C(OC(C)(C)C)=O)[Mg],40
56,CC(C[Mg])([Mg])C(O)=O,228
57,COC(C(C[Mg])([Mg])C)=O,105
58,CC(C[Mg])([Mg])C(OCC)=O,65
59,CC(C[Mg])([Mg])C(OCCC)=O,35
60,CC(C[Mg])([Mg])C(OC(C)C)=O,27
61,CCCCOC(C(C[Mg])([Mg])C)=O,20
62,CC(C[Mg])([Mg])C(OCC(C)C)=O,53
63,CC(C[Mg])([Mg])C(OC(C)CC)=O,60
64,CC(C[Mg])([Mg])C(OC(C)(C)C)=O,7
65,CC([Mg])(C[Mg])C(OCC(CC)CC)=O,11
66,CC(C[Mg])([Mg])C(OCCCCCC)=O,-17
67,CC(C[Mg])([Mg])C(OCCCCCCCC)=O,-20
68,CC(C[Mg])([Mg])C(OCCCCCCCCCCCC)=O,-65
70,CC(C[Mg])([Mg])C(OC1=CC=CC=C1)=O,105
71,CC(C[Mg])([Mg])C(OCC1=CC=CC=C1)=O,54
72,O=C(OC1CCCCC1)C(C[Mg])([Mg])C,51
73,O=C(OC)C([Mg])C([Mg])Cl,143
74,N#CC([Mg])C[Mg],105
75,CC(C[Mg])([Mg])C#N,120
76,O=C(N)C([Mg])C[Mg],165
77,O=C(NC(C)C)C([Mg])C[Mg],85
78,[Mg]/C=C\C[Mg],-102
79,[Mg]/C=C/C[Mg],-83
80,[Mg]/C=C/C[Mg].[Mg]/C=C\C[Mg],-85
81,[Mg]C/C=C/CC[Mg],-60
82,[Mg]/C=C(C)/C[Mg],-73
83,[Mg]/C=C(C)/C[Mg],-68
84,[Mg]/C=C(C)/C[Mg],-48
85,[Mg]/C=C(C[Mg])/C(C)(C)C,25
86,[Mg]/C=C(C[Mg])/Cl,-48
87,[Mg]/C=C(Cl)/C[Mg].[Mg]/C=C(C[Mg])/Cl,-45
88,[Mg]CO[Mg],-83
89,[Mg]OCC[Mg],-67
90,[Mg]OCCCC[Mg],-84
91,[Mg]OCCOC[Mg],-64
92,[Mg]OCCCCOC[Mg],-84
93,[Mg]C(O[Mg])C,-30
94,[Mg]C(C)OC[Mg],-75
95,CCCCC(O[Mg])C[Mg],-69
96,[Mg]OC(CCCCCC)C[Mg],-18
97,C[C@H](O[Mg])[C@@H]([Mg])C,4
98,[Mg]OC(C1=CC=CC=C1)C[Mg],39
99,COCC(O[Mg])C[Mg],-62
100,CCCCOCC(O[Mg])C[Mg],-79
101,CCCCCCOCC(O[Mg])C[Mg],-85
102,[Mg]OC(COC1=CC=CC=C1)C[Mg],42
104,ClCC(C[Mg])(CCl)CO[Mg],8
105,CC1=C(O[Mg])C(C)=CC([Mg])=C1,210
106,[Mg]OC1=C(C2=CC=CC=C2)C=C([Mg])C=C1C3=CC=CC=C3,227
107,[Mg]CCCS[Mg],-52
108,[Mg]C1=CC=C(S[Mg])C=C1,87
109,O=C([Mg])CO[Mg],45
110,[Mg]OCCOC(CCC([Mg])=O)=O,-1
111,[Mg]C(CCCCC(OCCO[Mg])=O)=O,-70
112,[Mg]OCCOC(CCCCC([Mg])=O)=O,-68
113,[Mg]OCC(C)(C)COC(CCCCCCCCC([Mg])=O)=O,-45
114,[Mg]OCCOC(CCCCCCCCC([Mg])=O)=O,-30
115,[Mg]C(CCCCC(OCCCCCCCCCCO[Mg])=O)=O,-56
117,O=C(O[Mg])C(C)(C)C[Mg],-15
118,[Mg]OC1=CC=C(C([Mg])=O)C=C1,147
119,O=C(OCCO[Mg])c1cc(C([Mg])=O)ccc1,51
120,[Mg]C(c1ccc(C(OCCO[Mg])=O)cc1)=O,69
122,[Mg]C(c1ccc(C(OCCCCO[Mg])=O)cc1)=O,22
123,[Mg]C(c1ccc(C(OCCCCCCO[Mg])=O)cc1)=O,-9
124,[Mg]C(c1ccc(C(OCCCCCCCCCCO[Mg])=O)cc1)=O,-5
125,[Mg]C(c1ccc(C(OCC2CCC(CO[Mg])CC2)=O)cc1)=O,92
126,[Mg]C(C1=CC=CC2=C(C(OCCO[Mg])=O)C=CC=C21)=O,71
127,[Mg]OCCOC(C1=CC=C(C=C(C([Mg])=O)C=C2)C2=C1)=O,113
129,O=C([Mg])CCCCCN[Mg],40
130,O=C([Mg])CCCCCCN[Mg],52
131,O=C([Mg])CCCCCCCN[Mg],51
132,O=C([Mg])CCCCCCCCN[Mg],51
133,O=C([Mg])CCCCCCCCCN[Mg],43
134,O=C([Mg])CCCCCCCCCCN[Mg],46
135,O=C([Mg])CCCCCCCCCCCN[Mg],37
136,[Mg]C(CCCCC(NCCCCCCN[Mg])=O)=O,50
139,O=C(NCCCCCCN[Mg])CCCCCCCCC([Mg])=O,30
142,[Mg]C(CCCCCCCCC(NCCCCCCCCCCN[Mg])=O)=O,46
143,[Mg]NCC1=CC=CC(CNC(CCCCC([Mg])=O)=O)=C1,90
144,[Mg]NCC1=CC=CC(CNC(CCCCCCCCC([Mg])=O)=O)=C1,115
145,[Mg]NC1=CC(NC(C2=CC=CC(C([Mg])=O)=C2)=O)=CC=C1,272
146,[Mg]NC1=CC=C(NC(C2=CC=C(C=C2)C([Mg])=O)=O)C=C1,307
147,O=C([Mg])OC1=CC=C(CC2=CC=C(O[Mg])C=C2)C=C1,120
148,O=C([Mg])OC1=CC=C(C(C)C2=CC=C(O[Mg])C=C2)C=C1,130
149,O=C([Mg])OC1=CC=C(C(C)(C)C2=CC=C(O[Mg])C=C2)C=C1,145
150,O=C([Mg])OC1=CC=C(C(CCC)C2=CC=C(O[Mg])C=C2)C=C1,123
151,O=C([Mg])OC1=CC=C(C(C(C)C)C2=CC=C(O[Mg])C=C2)C=C1,149
152,O=C([Mg])OC1=CC=C(C(C)(CC)C2=CC=C(O[Mg])C=C2)C=C1,134
153,O=C([Mg])OC1=CC=C(C(C)(CCC)C2=CC=C(O[Mg])C=C2)C=C1,137
154,O=C([Mg])OC1=CC=C(C(C)(CCCCC)C2=CC=C(O[Mg])C=C2)C=C1,148
155,O=C([Mg])OC1=CC=C(C(C)(C2=CC=CC=C2)C3=CC=C(O[Mg])C=C3)C=C1,176
156,O=C([Mg])OC1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=C(O[Mg])C=C4)C=C1,121
157,O=C([Mg])OC1=CC=C(C2(CCCC2)C3=CC=C(O[Mg])C=C3)C=C1,167
158,O=C([Mg])OC1=CC=C(C2(CCCCC2)C3=CC=C(O[Mg])C=C3)C=C1,173
159,O=C([Mg])OC1=CC=C(SC2=CC=C(O[Mg])C=C2)C=C1,110
160,O=C([Mg])OC1=CC(C)=C(C(C)(C)C2=C(C)C=C(O[Mg])C=C2)C=C1,95
161,O=C([Mg])OC1=CC(Cl)=C(C(C)(C)C2=C(Cl)C=C(O[Mg])C=C2)C=C1,147
162,O=C([Mg])OC1=CC(Cl)=C(C(C)(C)C2=C(Cl)C=C(O[Mg])C=C2Cl)C(Cl)=C1,180
163,O=C([Mg])OC1=CC(Br)=C(C(C)(C)C2=C(Br)C=C(O[Mg])C=C2Br)C(Br)=C1,157
164,O=C([Mg])OC1=CC(Cl)=C(C2(CCCCC2)C3=C(Cl)C=C(O[Mg])C=C3Cl)C(Cl)=C1,173
165,[Mg]CC1=CC=C(C[Mg])C=C1,60
166,[Mg]CC1=CC=C(C[Mg])C=C1Cl,80
167,[Mg]C(F)(F)C1=CC=C(C(F)(F)[Mg])C=C1,90
168,O=S(C1=CC=C(O[Mg])C=C1)(C(C=C2)=CC=C2OC3=CC=C(C(C)(C)C(C=C4)=CC=C4[Mg])C=C3)=O,190
169,[Mg]N(C1=O)C(C2=C1C=C(C(N(C3=CC=C(OC4=CC=C([Mg])C=C4)C=C3)C5=O)=O)C5=C2)=O,327
170,[Mg][Si](C)(O[Mg])C,-123
